task_uid,label,family,k,difficulty,base_uplift,skill_uids,prompt
0ac9-94c3-c088-770e,nd-MP-∨E-3,logic,2,1.019,0.6,c061-fca8-b5c1-d0b6|35ab-640a-90de-c87b,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: MP, ∨E)."
8bc8-769e-ef52-977c,nd-MP-∨E-4,logic,2,1.13,0.6,c061-fca8-b5c1-d0b6|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: MP, ∨E)."
f52a-3a08-626d-57f1,nd-MP-∨E-5,logic,2,1.286,0.6,c061-fca8-b5c1-d0b6|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∨E)."
04c4-04bb-574f-b181,nd-MP-¬I-0,logic,2,2.504,0.6,c061-fca8-b5c1-d0b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q|R from premises P, P->Q. Cite the inference rule at each line (rules to use: MP, ¬I)."
1830-5772-d778-f3f5,nd-MP-¬I-1,logic,2,1.816,0.6,c061-fca8-b5c1-d0b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ¬I)."
0354-04c3-3d20-e9ab,nd-MP-¬I-2,logic,2,2.079,0.6,c061-fca8-b5c1-d0b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove ~P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: MP, ¬I)."
8b47-3a91-7753-8207,nd-MP-¬I-3,logic,2,1.26,0.6,c061-fca8-b5c1-d0b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P, Q. Cite the inference rule at each line (rules to use: MP, ¬I)."
9d5a-cc46-b6f2-84b4,nd-MP-¬I-4,logic,2,1.377,0.6,c061-fca8-b5c1-d0b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: MP, ¬I)."
ddb7-5cee-354c-e556,nd-MP-¬I-5,logic,2,1.363,0.6,c061-fca8-b5c1-d0b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: MP, ¬I)."
d5b4-e002-7dbb-03af,nd-MP-⊥E-0,logic,2,1.697,0.6,c061-fca8-b5c1-d0b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: MP, ⊥E)."
7f24-ca74-8779-a8ff,nd-MP-⊥E-1,logic,2,1.465,0.6,c061-fca8-b5c1-d0b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P, Q. Cite the inference rule at each line (rules to use: MP, ⊥E)."
690a-6fb4-8b13-5846,nd-MP-⊥E-2,logic,2,2.228,0.6,c061-fca8-b5c1-d0b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P&Q. Cite the inference rule at each line (rules to use: MP, ⊥E)."
bc37-b96b-d9c9-3d36,nd-MP-⊥E-3,logic,2,1.587,0.6,c061-fca8-b5c1-d0b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ⊥E)."
ffa6-4290-451f-7847,nd-MP-⊥E-4,logic,2,1.409,0.6,c061-fca8-b5c1-d0b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P&Q. Cite the inference rule at each line (rules to use: MP, ⊥E)."
f448-d5ca-afb8-7e5e,nd-MP-⊥E-5,logic,2,1.095,0.6,c061-fca8-b5c1-d0b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P, Q. Cite the inference rule at each line (rules to use: MP, ⊥E)."
7405-ffdb-9903-cf8a,nd-∧I-∧E-0,logic,2,0.236,0.6,cec7-5b5a-c47c-fe5c|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ∧E)."
5851-bd77-bef5-c95f,nd-∧I-∧E-1,logic,2,1.481,0.6,cec7-5b5a-c47c-fe5c|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ∧E)."
4dfd-f6e4-d79e-79c0,nd-∧I-∧E-2,logic,2,0.308,0.6,cec7-5b5a-c47c-fe5c|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: ∧I, ∧E)."
dc13-412d-0b0c-0b90,nd-∧I-∧E-3,logic,2,0.314,0.6,cec7-5b5a-c47c-fe5c|8a88-c16c-fe5d-8137,"Using natural deduction, prove R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ∧E)."
ba89-5cda-3298-d8c7,nd-∧I-∧E-4,logic,2,0.502,0.6,cec7-5b5a-c47c-fe5c|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: ∧I, ∧E)."
c36c-9db6-0536-e359,nd-∧I-∧E-5,logic,2,0.135,0.6,cec7-5b5a-c47c-fe5c|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ∧E)."
6f0e-b10f-e25c-eff8,nd-∧I-∨I-0,logic,2,0.555,0.6,cec7-5b5a-c47c-fe5c|6095-6528-0381-fcf0,"Using natural deduction, prove P from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ∨I)."
9bc0-a6dc-262e-ac2e,nd-∧I-∨I-1,logic,2,0.32,0.6,cec7-5b5a-c47c-fe5c|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ∨I)."
27cf-a1d1-dc0f-87a3,nd-∧I-∨I-2,logic,2,0.094,0.6,cec7-5b5a-c47c-fe5c|6095-6528-0381-fcf0,"Using natural deduction, prove R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ∨I)."
9496-abdf-ca2d-fbfb,nd-∧I-∨I-3,logic,2,0.778,0.6,cec7-5b5a-c47c-fe5c|6095-6528-0381-fcf0,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ∨I)."
2efc-c450-e8ec-69a9,nd-∧I-∨I-4,logic,2,0.921,0.6,cec7-5b5a-c47c-fe5c|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: ∧I, ∨I)."
05c1-e1c1-1766-ee4b,nd-∧I-∨I-5,logic,2,0.299,0.6,cec7-5b5a-c47c-fe5c|6095-6528-0381-fcf0,"Using natural deduction, prove Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ∨I)."
284a-8696-822e-2758,nd-∧I-∨E-0,logic,2,1.0,0.6,cec7-5b5a-c47c-fe5c|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∧I, ∨E)."
052b-2025-9e70-3a1e,nd-∧I-∨E-1,logic,2,1.13,0.6,cec7-5b5a-c47c-fe5c|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ∨E)."
6643-bf20-7055-8cb0,nd-∧I-∨E-2,logic,2,1.327,0.6,cec7-5b5a-c47c-fe5c|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧I, ∨E)."
ee69-12dc-e9f3-a074,nd-∧I-∨E-3,logic,2,1.384,0.6,cec7-5b5a-c47c-fe5c|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: ∧I, ∨E)."
8afb-bcd5-5f1e-f7f4,nd-∧I-∨E-4,logic,2,1.315,0.6,cec7-5b5a-c47c-fe5c|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ∨E)."
e05c-89bb-ac9b-8516,nd-∧I-∨E-5,logic,2,1.575,0.6,cec7-5b5a-c47c-fe5c|35ab-640a-90de-c87b,"Using natural deduction, prove P from premises P&Q. Cite the inference rule at each line (rules to use: ∧I, ∨E)."
2e37-626d-1c3d-8541,nd-∧I-¬I-0,logic,2,1.395,0.6,cec7-5b5a-c47c-fe5c|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∧I, ¬I)."
cc6e-527f-1c14-50b5,nd-∧I-¬I-1,logic,2,1.245,0.6,cec7-5b5a-c47c-fe5c|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ¬I)."
44bb-09f9-90ee-ca93,nd-∧I-¬I-2,logic,2,1.17,0.6,cec7-5b5a-c47c-fe5c|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P, Q. Cite the inference rule at each line (rules to use: ∧I, ¬I)."
171b-aa06-2574-6add,nd-∧I-¬I-3,logic,2,1.401,0.6,cec7-5b5a-c47c-fe5c|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: ∧I, ¬I)."
3b8e-1ed7-1a9a-3478,nd-∧I-¬I-4,logic,2,1.634,0.6,cec7-5b5a-c47c-fe5c|f9ce-053a-0cb1-a974,"Using natural deduction, prove P from premises ~~P. Cite the inference rule at each line (rules to use: ∧I, ¬I)."
5f53-db1e-f2c9-52a7,nd-∧I-¬I-5,logic,2,1.604,0.6,cec7-5b5a-c47c-fe5c|f9ce-053a-0cb1-a974,"Using natural deduction, prove ~P from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧I, ¬I)."
86bb-8ccb-7d78-b506,nd-∧I-⊥E-0,logic,2,0.539,0.6,cec7-5b5a-c47c-fe5c|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ∧I, ⊥E)."
2435-a30e-74b9-d9d9,nd-∧I-⊥E-1,logic,2,1.622,0.6,cec7-5b5a-c47c-fe5c|7f62-ad43-48e0-26a3,"Using natural deduction, prove R from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧I, ⊥E)."
baab-d2d5-462c-5ca6,nd-∧I-⊥E-2,logic,2,0.976,0.6,cec7-5b5a-c47c-fe5c|7f62-ad43-48e0-26a3,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: ∧I, ⊥E)."
59b9-74ae-fa97-a77d,nd-∧I-⊥E-3,logic,2,1.449,0.6,cec7-5b5a-c47c-fe5c|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧I, ⊥E)."
d807-8973-4fed-87d3,nd-∧I-⊥E-4,logic,2,1.118,0.6,cec7-5b5a-c47c-fe5c|7f62-ad43-48e0-26a3,"Using natural deduction, prove P&Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧I, ⊥E)."
72bf-8657-c423-4ee7,nd-∧I-⊥E-5,logic,2,1.382,0.6,cec7-5b5a-c47c-fe5c|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧I, ⊥E)."
8d18-ee63-35d4-a6bf,nd-∧E-∨I-0,logic,2,0.509,0.6,8a88-c16c-fe5d-8137|6095-6528-0381-fcf0,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: ∧E, ∨I)."
c265-5fa1-fbb4-2772,nd-∧E-∨I-1,logic,2,0.5,0.6,8a88-c16c-fe5d-8137|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧E, ∨I)."
ad1a-4e01-686e-3b51,nd-∧E-∨I-2,logic,2,0.563,0.6,8a88-c16c-fe5d-8137|6095-6528-0381-fcf0,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ∧E, ∨I)."
3b44-5ec4-74ee-cbe1,nd-∧E-∨I-3,logic,2,0.112,0.6,8a88-c16c-fe5d-8137|6095-6528-0381-fcf0,"Using natural deduction, prove P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧E, ∨I)."
0449-e45b-c0fa-3723,nd-∧E-∨I-4,logic,2,1.025,0.6,8a88-c16c-fe5d-8137|6095-6528-0381-fcf0,"Using natural deduction, prove P&Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧E, ∨I)."
6b52-1cde-3b40-335c,nd-∧E-∨I-5,logic,2,0.967,0.6,8a88-c16c-fe5d-8137|6095-6528-0381-fcf0,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: ∧E, ∨I)."
e131-c864-4546-fc0a,nd-∧E-∨E-0,logic,2,0.903,0.6,8a88-c16c-fe5d-8137|35ab-640a-90de-c87b,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ∧E, ∨E)."
987b-4ef8-70aa-9ec3,nd-∧E-∨E-1,logic,2,1.617,0.6,8a88-c16c-fe5d-8137|35ab-640a-90de-c87b,"Using natural deduction, prove Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧E, ∨E)."
d389-9b57-867b-2139,nd-∧E-∨E-2,logic,2,1.232,0.6,8a88-c16c-fe5d-8137|35ab-640a-90de-c87b,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ∧E, ∨E)."
d890-ee2d-3631-601b,nd-∧E-∨E-3,logic,2,0.325,0.6,8a88-c16c-fe5d-8137|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: ∧E, ∨E)."
58f6-bf62-b150-8370,nd-∧E-∨E-4,logic,2,1.306,0.6,8a88-c16c-fe5d-8137|35ab-640a-90de-c87b,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: ∧E, ∨E)."
63a1-68b9-166c-88a2,nd-∧E-∨E-5,logic,2,0.765,0.6,8a88-c16c-fe5d-8137|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: ∧E, ∨E)."
c46b-87ff-4396-4961,nd-∧E-¬I-0,logic,2,1.561,0.6,8a88-c16c-fe5d-8137|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: ∧E, ¬I)."
cf29-2e84-8437-17a6,nd-∧E-¬I-1,logic,2,0.923,0.6,8a88-c16c-fe5d-8137|f9ce-053a-0cb1-a974,"Using natural deduction, prove ~P from premises P, Q. Cite the inference rule at each line (rules to use: ∧E, ¬I)."
1a4b-cd52-6eff-6db3,nd-∧E-¬I-2,logic,2,2.159,0.6,8a88-c16c-fe5d-8137|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q|R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∧E, ¬I)."
9aee-1d06-6de7-b17c,nd-∧E-¬I-3,logic,2,0.917,0.6,8a88-c16c-fe5d-8137|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: ∧E, ¬I)."
eb26-e42d-8a8e-7079,nd-∧E-¬I-4,logic,2,0.976,0.6,8a88-c16c-fe5d-8137|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises P&Q. Cite the inference rule at each line (rules to use: ∧E, ¬I)."
fb38-a350-3a56-0a2a,nd-∧E-¬I-5,logic,2,1.442,0.6,8a88-c16c-fe5d-8137|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises ~~P. Cite the inference rule at each line (rules to use: ∧E, ¬I)."
d054-085c-48d5-b6c5,nd-∧E-⊥E-0,logic,2,1.367,0.6,8a88-c16c-fe5d-8137|7f62-ad43-48e0-26a3,"Using natural deduction, prove P&Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∧E, ⊥E)."
a25a-1012-042b-856d,nd-∧E-⊥E-1,logic,2,0.519,0.6,8a88-c16c-fe5d-8137|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: ∧E, ⊥E)."
4d66-fa4e-002c-f49d,nd-∧E-⊥E-2,logic,2,1.722,0.6,8a88-c16c-fe5d-8137|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∧E, ⊥E)."
0dd0-ceb9-7152-6e40,nd-∧E-⊥E-3,logic,2,1.146,0.6,8a88-c16c-fe5d-8137|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P, Q. Cite the inference rule at each line (rules to use: ∧E, ⊥E)."
e8e0-6ba7-e46f-43ba,nd-∧E-⊥E-4,logic,2,1.724,0.6,8a88-c16c-fe5d-8137|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: ∧E, ⊥E)."
6389-4580-d7f1-8387,nd-∧E-⊥E-5,logic,2,1.412,0.6,8a88-c16c-fe5d-8137|7f62-ad43-48e0-26a3,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: ∧E, ⊥E)."
5333-f9cf-8f00-5403,nd-∨I-∨E-0,logic,2,1.117,0.6,6095-6528-0381-fcf0|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: ∨I, ∨E)."
7284-0add-19aa-f50b,nd-∨I-∨E-1,logic,2,1.421,0.6,6095-6528-0381-fcf0|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: ∨I, ∨E)."
9828-1ca9-a43c-d529,nd-∨I-∨E-2,logic,2,1.05,0.6,6095-6528-0381-fcf0|35ab-640a-90de-c87b,"Using natural deduction, prove P&Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨I, ∨E)."
07df-5ab3-023b-aab5,nd-∨I-∨E-3,logic,2,1.238,0.6,6095-6528-0381-fcf0|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises P, Q. Cite the inference rule at each line (rules to use: ∨I, ∨E)."
5233-b6a1-43a1-c605,nd-∨I-∨E-4,logic,2,1.411,0.6,6095-6528-0381-fcf0|35ab-640a-90de-c87b,"Using natural deduction, prove Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∨I, ∨E)."
9c9d-d77e-ee10-5db3,nd-∨I-∨E-5,logic,2,0.851,0.6,6095-6528-0381-fcf0|35ab-640a-90de-c87b,"Using natural deduction, prove P&Q from premises P, Q. Cite the inference rule at each line (rules to use: ∨I, ∨E)."
d55b-b081-0e20-0e4e,nd-∨I-¬I-0,logic,2,1.383,0.6,6095-6528-0381-fcf0|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∨I, ¬I)."
e56c-1fa8-b4e9-59db,nd-∨I-¬I-1,logic,2,1.416,0.6,6095-6528-0381-fcf0|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: ∨I, ¬I)."
7cfd-cb1f-b87a-9137,nd-∨I-¬I-2,logic,2,1.899,0.6,6095-6528-0381-fcf0|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨I, ¬I)."
cec8-e837-0469-2a69,nd-∨I-¬I-3,logic,2,1.481,0.6,6095-6528-0381-fcf0|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∨I, ¬I)."
89d9-940b-f03b-da2b,nd-∨I-¬I-4,logic,2,2.018,0.6,6095-6528-0381-fcf0|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨I, ¬I)."
70e3-d58e-743d-99ac,nd-∨I-¬I-5,logic,2,1.242,0.6,6095-6528-0381-fcf0|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises ~~P. Cite the inference rule at each line (rules to use: ∨I, ¬I)."
ae7d-645e-8ff5-40d0,nd-∨I-⊥E-0,logic,2,1.748,0.6,6095-6528-0381-fcf0|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨I, ⊥E)."
67af-2a29-dac3-0560,nd-∨I-⊥E-1,logic,2,1.075,0.6,6095-6528-0381-fcf0|7f62-ad43-48e0-26a3,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: ∨I, ⊥E)."
84c9-a1a8-f4fa-fb96,nd-∨I-⊥E-2,logic,2,0.635,0.6,6095-6528-0381-fcf0|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∨I, ⊥E)."
a975-ee4d-a956-886b,nd-∨I-⊥E-3,logic,2,1.562,0.6,6095-6528-0381-fcf0|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P, Q. Cite the inference rule at each line (rules to use: ∨I, ⊥E)."
3296-7600-e9d2-07f2,nd-∨I-⊥E-4,logic,2,1.03,0.6,6095-6528-0381-fcf0|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∨I, ⊥E)."
18d8-9f32-8ecf-595d,nd-∨I-⊥E-5,logic,2,1.228,0.6,6095-6528-0381-fcf0|7f62-ad43-48e0-26a3,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: ∨I, ⊥E)."
de40-1945-da97-b72c,nd-∨E-¬I-0,logic,2,2.15,0.6,35ab-640a-90de-c87b|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨E, ¬I)."
2609-8c80-bb38-51e6,nd-∨E-¬I-1,logic,2,2.057,0.6,35ab-640a-90de-c87b|f9ce-053a-0cb1-a974,"Using natural deduction, prove P from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨E, ¬I)."
c2a6-be29-159c-756b,nd-∨E-¬I-2,logic,2,2.256,0.6,35ab-640a-90de-c87b|f9ce-053a-0cb1-a974,"Using natural deduction, prove ~P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∨E, ¬I)."
5bc8-a275-559b-cd91,nd-∨E-¬I-3,logic,2,2.266,0.6,35ab-640a-90de-c87b|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ∨E, ¬I)."
ed47-9b93-d144-409b,nd-∨E-¬I-4,logic,2,2.386,0.6,35ab-640a-90de-c87b|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨E, ¬I)."
cc86-430a-ba54-79e0,nd-∨E-¬I-5,logic,2,2.213,0.6,35ab-640a-90de-c87b|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: ∨E, ¬I)."
0053-3169-58f6-f1d6,nd-∨E-⊥E-0,logic,2,1.494,0.6,35ab-640a-90de-c87b|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨E, ⊥E)."
873f-894d-a3fb-9ecf,nd-∨E-⊥E-1,logic,2,1.475,0.6,35ab-640a-90de-c87b|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ∨E, ⊥E)."
dd0c-b5d9-4061-7f71,nd-∨E-⊥E-2,logic,2,1.891,0.6,35ab-640a-90de-c87b|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P&Q. Cite the inference rule at each line (rules to use: ∨E, ⊥E)."
aec0-55e6-15d2-443b,nd-∨E-⊥E-3,logic,2,2.464,0.6,35ab-640a-90de-c87b|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: ∨E, ⊥E)."
8770-865f-ccbe-250f,nd-∨E-⊥E-4,logic,2,2.176,0.6,35ab-640a-90de-c87b|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: ∨E, ⊥E)."
3986-10dd-9bcb-2852,nd-∨E-⊥E-5,logic,2,2.188,0.6,35ab-640a-90de-c87b|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: ∨E, ⊥E)."
3e8e-b31e-cc0b-6644,nd-¬I-⊥E-0,logic,2,2.122,0.6,f9ce-053a-0cb1-a974|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: ¬I, ⊥E)."
85c2-438a-cb85-2aca,nd-¬I-⊥E-1,logic,2,2.409,0.6,f9ce-053a-0cb1-a974|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P&Q. Cite the inference rule at each line (rules to use: ¬I, ⊥E)."
48de-22ca-5609-6f2d,nd-¬I-⊥E-2,logic,2,1.912,0.6,f9ce-053a-0cb1-a974|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: ¬I, ⊥E)."
431e-2ede-9a5b-192d,nd-¬I-⊥E-3,logic,2,1.903,0.6,f9ce-053a-0cb1-a974|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ¬I, ⊥E)."
3132-5db8-dcaa-59e1,nd-¬I-⊥E-4,logic,2,2.84,0.6,f9ce-053a-0cb1-a974|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: ¬I, ⊥E)."
c6dd-dea4-d5eb-4e16,nd-¬I-⊥E-5,logic,2,2.174,0.6,f9ce-053a-0cb1-a974|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P, P->Q. Cite the inference rule at each line (rules to use: ¬I, ⊥E)."
5193-4375-b3a1-3300,language-66c6f6fd,language,1,0.843,0.83,8126-24c9-5cd1-b984,"Rewrite the passage in draw vivid sensory analogy, keeping it under three sentences."
5f15-b10c-20fb-4c28,language-80baaa26,language,1,0.87,0.939,8f7d-c7b7-a67c-1b42,"Rewrite the passage in mask personally identifiable token, keeping it under three sentences."
c6d4-ed0d-3ba3-df32,language-c53751b4,language,1,1.166,-0.615,d19f-5218-6b1f-762d,Edit the text so it satisfies write second person imperative without changing the meaning.
f9a2-e3fa-f6ca-2bd2,language-663d103d,language,1,1.487,-0.42,4947-baeb-67a6-4d86,Edit the text so it satisfies follow strict output format without changing the meaning.
cdcd-0a47-ea9d-a655,language-65ec4734,language,1,1.569,0.06,11fe-05d8-580f-1a1c,Write two sentences about dueling that exhibit model agent false belief.
6db0-21df-6359-9b1e,language-70142d7e,language,1,2.642,1.057,a0b0-1fee-981c-21e2,"Rewrite the passage in use extended visual metaphor, keeping it under three sentences."
a9a1-7645-4e53-209b,language-4a2f21b0,language,1,2.561,0.638,0cd2-0be4-551b-3df9,Write two sentences about dueling that exhibit infer hidden speaker intention.
4f5c-6e06-7e64-126d,language-14d7580f,language,1,1.545,-0.309,5e4d-1d58-97b4-101e,"Rewrite the passage in maintain consistent narrative tense, keeping it under three sentences."
8c2c-13f0-1fda-6387,language-f56b6e79,language,1,1.472,-0.557,8126-24c9-5cd1-b984,Write two sentences about dueling that exhibit draw vivid sensory analogy.
